SampleID,Group,Order,Diet,Metabolite1,Metabolite2,Metabolite3,Metabolite4,Metabolite5,Metabolite6,Metabolite7,Metabolite8,Metabolite9,Metabolite10,Metabolite11,Metabolite12,Metabolite13,Metabolite14,Metabolite15,Metabolite16,Metabolite17,Metabolite18,Metabolite19,Metabolite20,Metabolite21,Metabolite22,Metabolite23,Metabolite24,Metabolite25,Metabolite26,Metabolite27,Metabolite28,Metabolite29,Metabolite30,Metabolite31,Metabolite32,Metabolite33,Metabolite34,Metabolite35,Metabolite36,Metabolite37,Metabolite38,Metabolite39,Metabolite40,Metabolite41,Metabolite42,Metabolite43,Metabolite44,Metabolite45,Metabolite46,Metabolite47,Metabolite48,Metabolite49,Metabolite50,Metabolite51,Metabolite52,Metabolite53,Metabolite54,Metabolite55,Metabolite56,Metabolite57,Metabolite58,Metabolite59,Metabolite60,Metabolite61,Metabolite62,Metabolite63,Metabolite64,Metabolite65,Metabolite66,Metabolite67,Metabolite68,Metabolite69,Metabolite70,Metabolite71,Metabolite72,Metabolite73,Metabolite74,Metabolite75,Metabolite76,Metabolite77,Metabolite78,Metabolite79,Metabolite80,Metabolite81,Metabolite82,Metabolite83,Metabolite84,Metabolite85,Metabolite86,Metabolite87,Metabolite88,Metabolite89,Metabolite90,Metabolite91,Metabolite92,Metabolite93,Metabolite94,Metabolite95,Metabolite96,Metabolite97,Metabolite98,Metabolite99,Metabolite100,Metabolite7_dup,Metabolite86_near_dup
Batch1_QC_1,QC,1,NA,119465.46,96858.08,99593.47,106902.43,87119.16,95179.7,119009.48,92949.54,124881.75,102533.5,104364.66,134446.65,82222.36,98968.62,96233.06,108522.53,102302.32,83273.49,72100.46,118852.45,110733.33,81123.88,111034.8,118121.88,119702.56,105333.19,80422.45,82567.14,114934.47,97885.93,114337.86,121998.28,111470.61,100158.37,114599.22,80967.54,99788.02,97108.52,73852.66,96905.74,103623.73,98565.3,100490.27,84784.15,92875.85,103646.47,95734.54,118108.12,107670.33,104372.52,87986.24,98723.41,114365.39,119724.42,109195.29,90186.17,108683.21,92675.99,58733.34,109497.81,84363.73,118320.22,104062.85,110990.76,85628.91,96318.31,106628.48,102763.25,114730.91,107188.41,96191.83,107364.28,111704.22,83335.89,81213.9,121357.04,120994.55,104998.38,100985.08,83842.74,121415.68,96965.85,101245.61,102404.33,92420.98,104181.64,98403.64,114610.83,124847.93,108265,108402.68,94844.31,112481.3,108161.43,84296.89,96664.79,102054.03,80954.18,97116.53,109241.85,119009.48,104181.64
Batch1_Sample_1,Group2,2,Diet1,115559.72,95080.69,92796.67,125684.65,151763.51,103773.39,117046.02,88820.59,122778.4,111071.39,107162.18,126333.53,71069.79,112720.81,91906.26,97308.79,78214.57,83252.06,69491.4,97394.13,74985.61,104775.37,109375.2,107815.79,92744.43,54718.6,96431.62,86860.44,92366.97,75612,121735.18,96549.91,95226.31,83915.24,98401.02,94714.92,82932.01,86177.06,73273.37,119423.42,115243.33,82946.96,121414.59,100199.67,68088.68,123858.43,92409.94,84635.92,106204.76,100372.84,93989.9,107160.43,112478.98,104925.88,95341.49,106467.17,121755.25,108369.7,72315.31,95550.68,55063.45,125854.31,125938.55,122266.17,88136.46,134850.83,128530.88,117795.71,112733.02,70301.47,111152.63,99959.92,119610.51,102225.11,96472.45,90600.19,111857.8,90808.72,99432.59,87133.43,114686.32,101035.44,132187.96,74466.93,84613.31,89132.96,103792.49,103671.9,115703.47,108653.01,123054.95,82955.71,109842.1,126163.79,100246.41,104438.67,106899.74,78531.73,104091.3,73225.79,117046.02,89132.96
Batch1_Sample_2,Group2,3,Diet1,103268.72,104425.21,125911.49,82569.13,138855.75,109706.88,117433.28,103140.72,110649.07,95880.55,95678.96,157457.91,103749.34,97601.53,113848.1,99993.71,112217.91,69290.89,79347.38,113522.48,86793.42,95578.66,111746.13,99308.17,96335.57,106921.65,84785.24,86868.8,96422.11,81728,96298.68,93043.78,103371.94,91323.05,116976.03,70497.45,105863.59,104573.95,69171.59,119879.47,89006.41,121399.23,78124.63,126220.83,88573.14,95632.04,85603.08,118182.29,96054.58,115280.26,117440.83,108277.32,133423.75,89770.73,116700.46,97849.24,120519.13,104676.87,73391.65,96616.44,80792.14,128448,171603.96,129854.67,111431.22,109291.23,83080.75,110908.97,115567.31,110756.04,91095.64,112793.32,133658.87,102742.49,88341.19,108018.96,124912.6,118343.35,86232.2,83598.94,105941.62,113775.27,91433.08,119208.89,111964.81,117165.03,92411.61,89820.54,101868.52,105206.32,110621.28,100347.69,106944.75,89239.94,100387.47,109262.21,81679.36,80070.4,95578.18,83760.5,117433.28,117165.03
Batch1_Sample_3,Group2,4,Diet2,104172.23,91240.6,108695.38,,129927.47,100167.3,109084.27,70155.3,132236.36,100051.11,175296.46,141184.18,86996.8,81029.53,94669.58,98802.77,79889.99,71684.43,74104.98,121204.07,92271.03,87555.67,89289.34,86920.65,116431.28,129175.38,65921.84,54309.16,83131.61,108156.32,121046.06,103035.37,137865.77,94699.21,115383.86,83728.19,94526.19,107009.41,68866.5,86903.35,95124.44,76677.51,106480.39,129990.37,88880.07,96566.23,92517.53,109182.79,111921.17,98238.63,109327.43,85067.69,98894.09,80932.5,103829.42,89377.7,121443.94,101878.5,92733.53,105574.72,73706.68,132273.43,122705.06,113368.52,74050.24,105949.81,133028.6,99370.57,111276.66,114335.03,96093.94,103749.35,100367.95,96566.19,86761.61,120638.18,106468.21,115149.57,82247.24,82643.69,127045.97,114855.32,104089.11,95635.37,100993,110788.85,108717.42,114457.02,112458.47,128470.71,116080.87,93365.7,118457.37,104641.89,94575.22,86671.02,102898.25,67636.15,130133.78,128352.14,109084.27,110788.85
Batch1_Sample_4,Group1,5,Diet3,122222.61,92926.58,91092.86,165812.85,56661.88,125508.15,144537,101011.12,141166.67,86595.14,144061.69,129278.25,71504.69,78907.9,100876.97,90455.23,131231.03,62193.63,82335.64,120129.07,104301.94,103335.12,98366.15,116975.5,121703.82,114251.29,90728.57,58771.3,99919.02,62597.14,87443.24,107649.5,94431.91,96499.34,105687.59,70143.59,98742.69,71444.13,84352.9,100045.11,98746.66,62094.08,50036.25,73496.17,66172.27,91894.48,98320.37,108526.03,75657.09,92989.07,109587.22,91851.77,102001.47,96389.43,101632.08,94684.28,106747.59,113946.26,73336.04,104653.54,103206.21,83952.49,96791.74,122400.23,59068.22,88767.55,98873.11,96649.5,124325.11,113800.68,86610.13,112405.77,86074.49,85334.63,101644.37,121118.4,107296.28,102930.19,88580.42,91165.74,116014.34,116972.72,91747.82,98373.63,93898.03,93709.66,85829.83,99120.24,121071.47,123031.52,118959.54,110635.64,132969.98,114134.69,79747.77,79574.37,72017.47,103065.83,108116.1,84985.26,144537,93709.66
Batch1_Sample_5,Group2,6,Diet4,104421.57,81251.48,100144.59,91499.61,103736.65,101252.34,100961.44,97065.7,126603.38,115996.69,141144.46,129818.47,103247.3,103322.14,91966.17,100861.78,104183.7,76390.7,75730.65,76147.13,112374.48,71376.94,94822.99,88587.53,139740.61,122119.73,96274.87,77196.91,86112.73,99378.17,111757.03,108299.06,119055.68,110289.02,92140.68,92001.43,104315.51,73119.29,94669.83,67416.92,104862.76,104565.38,88011.94,99152.29,125979.22,103035.37,82040.67,147522.43,106613.96,103777.73,119349.92,91320.85,110851.67,95723.19,99319.21,88711.18,105720.79,118053.2,50407.02,98393.53,98791.61,89686.41,155938.12,76647.93,70190.47,70953.49,67835.9,97331.43,92654.78,85896.57,113061.45,96135.62,126052.61,76043.86,87260.9,94281.8,130365.34,94301.9,99332.98,101900.23,116775.8,97936.31,112171.31,110403.5,75518.11,104237.5,87143.17,97635.63,100943.45,88038.27,120160.24,82272.19,121899.46,92590.56,77423.24,87434.14,97770.05,73949.18,110357.73,86972.34,100961.44,104237.5
Batch1_Sample_6,Group1,7,Diet5,134179.57,87741.97,128765.9,97466.61,102770.5,89920.59,119641.09,104001.66,123755.16,83374.91,138882.56,101693.57,87114.42,71950.92,104821.39,93889.26,104809.82,65931.99,101661.21,104026.96,111027.38,103042.32,70160.03,119640.1,71529.27,92690.94,88093.3,87983.56,80801,108513.56,128055.85,104592.76,126630.27,63899.12,119014.63,72422.13,100199.24,105574.26,54468.44,99335.23,111753.52,95362.42,90476.27,89871.82,51024.53,96691.76,89023.59,144081.92,99838.82,101739.92,119432.12,90431.94,127389.87,97585.51,106780.64,105853.72,127759.25,109197.33,82705.75,80387.28,80860.94,92736.88,132430.87,124229.12,107431.85,100847.53,125356.28,110870.26,96998.48,72634.05,91184.96,112363.68,111040.7,88661.09,96707.69,86168.02,82813.65,107541.14,80815.47,112974.9,112302.37,111178.24,100854.39,113445.33,95630.52,103219.27,109688.66,103311.69,106298.75,102579.17,120708.86,103238.18,97528.63,113905.47,61440.86,97250.38,53265.18,92800.46,102400.07,113660.84,119641.09,103219.27
Batch1_Sample_7,Group2,8,Diet6,135286.02,87172.23,108205.36,114128.08,170535.29,70318.53,107921.4,105789.92,101246.01,83442.17,239644.07,116967.33,74330.17,103119.65,88968.41,90158.28,106882.27,90053.14,101504.69,87415.19,60650.8,99809.3,102679.78,84228.75,79249.49,70791.21,97645.86,86802.35,105199.48,92565.48,95814.07,107433.24,110186.34,80125.31,123393.14,64533.33,81820.14,66479.98,103235.39,96918.96,95719.13,76943.64,103937.78,112250.47,108983.73,102315.47,74909.88,94432.6,106338.05,92192.56,100507.35,80789.95,110443.49,112617.66,104663.61,98064.07,107652.63,105572.09,70886.68,102697.26,82633.11,95689.68,143297.68,96042.78,76382.08,69143.26,77830.55,99185.54,114812.78,97695.1,88266.02,98319.87,90539.92,89596.27,92938.17,126488.63,109943.53,107798.96,85884.76,60671.98,120847.14,84015.43,83633.36,94206.73,114109.33,119867.75,90396.68,107562.74,140065.54,108049.97,111938.12,82677.23,129848.17,89735.77,85761.47,88560.78,106322.04,84685.73,79294.5,96468.04,107921.4,119867.75
Batch1_Sample_8,Group2,9,Diet7,113566.95,73445.53,120472.23,121345.79,155577.62,100495.69,139325.08,109817.81,126739.86,96078.23,106034.76,121073.96,88245.97,121365.43,100747.51,93983.8,76153.79,80316.73,80745.96,102733.79,85188.82,54296.05,99427.33,98435.56,132805.37,131306.65,82781.32,75833.54,85316.69,95694.8,115556.71,103657,110503.62,111246.18,97616.72,81218.68,82807.17,64322.91,58329.59,109242.65,89565.94,114743.66,119397.66,115704.76,84878.21,101048.75,89880.8,120920.33,78319.04,103843.03,116689.43,89789.87,119904.57,99576.16,110901.59,82120.92,89099.75,111760.75,59143.96,112657.59,102390.39,88338.1,115318.77,134613.1,92086.7,122359.3,62851.32,148251.62,86565.52,95578.8,74079.96,102868.61,124318.85,104778.88,86213.11,141923.62,107197.1,96985.67,104234.47,104044.12,104397.9,83564.86,102425.39,102258.58,81773.91,98350.81,106841.16,102298.62,105115.29,118996.6,105858.05,77669.16,121623.88,105170.03,86851.17,74372.87,84363.65,72341.98,83948.12,136834.17,139325.08,98350.81
Batch1_QC_2,QC,10,Diet8,101142.48,90032.96,107492.67,102138.15,68862.98,105499.72,103052.95,103510.09,107784.57,95878.23,106832.5,116521.16,84898.65,84405.23,94470.68,104319.22,97930.54,63605.99,80332.09,116898.21,91529.2,73435.09,102199.89,111210.18,101835.19,82867.94,99635.99,82718,108711.45,84992.49,109229.83,100528.49,99825.5,82011.6,107474.29,74353.07,100243.55,89272.04,77640.93,96047.59,95502.11,84746.93,103048.52,79357.71,74273.23,101507.9,87069.67,123465.62,102895.69,96214.7,106725.27,97298.86,118792.53,98999.4,102458.97,109532.72,102948.71,102924.75,77991.94,106140.6,91966.34,110797.09,105615.18,103716.36,84641.62,116850.63,109038.2,117115.94,114988.29,102869.41,90461.64,98966.72,104159.7,98590.24,79436.75,113069.24,103247.48,101564.43,99163.11,83207.87,119746.38,102259.74,99522.39,91775.53,91405.17,111206.35,93675.66,89274.18,109882.07,112331.27,99111.54,93172.82,95292.82,113615.15,89981.52,88079.84,87236.8,84489.15,105562.18,107967.83,103052.95,111206.35
